lead_id,visit_date
11206,2019-10-07
11834,2019-10-15
11845,2019-10-14
12604,2019-10-26
13520,2019-11-01
13852,2019-11-09
14527,2019-11-11
17041,2019-11-30
20877,2020-01-06
21225,2019-12-18
21349,2019-12-24
3606,2019-05-15
4495,2019-06-04
496,2018-11-12
6259,2019-07-13
6951,2019-07-23
7182,2019-08-01
7279,2019-08-03
7935,2019-09-09
8229,2019-08-27
8284,2019-08-29
8494,2019-09-04
8779,2019-09-05
8842,2019-09-10
00Q4P00000wl57LUAQ,2020-01-04
00Q4P00000wlItjUAE,2020-01-11
00Q4P00000wlPmUUAU,2020-01-18
00Q4P00000wle2TUAQ,2020-01-22
00Q4P00000wlhtZUAQ,2020-01-23
00Q4P00000wlgxrUAA,2020-01-25
00Q4P00000wllJSUAY,2020-01-23
00Q4P000010MMgRUAW,2020-02-08
00Q4P000010MQDqUAO,2020-02-03
00Q4P000010MWgPUAW,2020-02-06
00Q4P000010MVG1UAO,2020-02-13
00Q4P000010MazZUAS,2020-02-08
00Q4P000010Mn0eUAC,2020-02-24
00Q4P000010MtnvUAC,2020-03-02
00Q4P000010N9SXUA0,2020-02-29
00Q4P000010NAk5UAG,2020-02-29
00Q4P000010NAk5UAG,2020-02-29
00Q4P000010NAk5UAG,2020-02-29
00Q4P000010MzO4UAK,2020-02-29
00Q4P000010NFKqUAO,2020-03-04
00Q4P000010NpBPUA0,2020-03-21
00Q4P000010NxUdUAK,2020-03-27
00Q4P000010NmCIUA0,2020-03-25
00Q4P000010O5izUAC,2020-03-31
10437,2019-10-04
11219,2019-10-09
12533,2019-10-21
12788,2019-10-24
1355,2019-02-14
14684,2019-11-08
19062,2019-12-06
3550,2019-05-14
3830,2019-05-27
4337,2019-05-30
4643,2019-06-08
6236,2019-07-12
810,2018-12-19
8116,2019-09-04
8203,2019-09-10
9080,2019-09-17
9341,2019-11-11
00Q4P00000wksddUAA,2019-12-20
00Q4P00000wl2LbUAI,2020-01-06
00Q4P00000wlQWwUAM,2020-01-15
00Q4P00000wlQZRUA2,2020-01-09
00Q4P00000wlR76UAE,2020-01-20
00Q4P00000wlXsmUAE,2020-01-25
00Q4P00000wldHwUAI,2020-01-21
00Q4P00000wlejJUAQ,2020-01-23
00Q4P00000wloFiUAI,2020-01-25
00Q4P000010MMkJUAW,2020-02-01
00Q4P000010MNIuUAO,2020-01-28
00Q4P000010MOxKUAW,2020-02-03
00Q4P000010MPxkUAG,2020-02-03
00Q4P000010MSwMUAW,2020-02-06
00Q4P000010MUZBUA4,2020-02-04
00Q4P000010Mg8SUAS,2020-02-13
00Q4P000010MputUAC,2020-02-17
00Q4P000010MuF1UAK,2020-02-20
00Q4P000010MuF1UAK,2020-02-20
00Q4P000010MuxNUAS,2020-02-22
00Q4P000010Mv4dUAC,2020-02-21
00Q4P000010NEjpUAG,2020-02-29
00Q4P000010NYPZUA4,2020-03-11
00Q4P000010NZb3UAG,2020-03-13
00Q4P000010NQVyUAO,2020-03-14
00Q4P000010NgfGUAS,2020-03-16
00Q4P000010NhZbUAK,2020-03-11
1137,2019-01-11
12406,2019-10-21
13266,2019-10-29
13451,2019-10-29
13503,2019-10-31
17095,2019-11-26
1831,2019-04-03
18934,2019-12-07
235,2018-08-23
3953,2019-05-27
460,2018-11-09
5247,2019-06-19
577,2018-11-28
6506,2019-07-17
6989,2019-07-25
9090,2019-09-11
9225,2019-09-17
9640,2019-09-21
00Q4P00000wkw2bUAA,2019-12-24
00Q4P00000wkw2bUAA,2019-12-24
00Q4P00000wlQbSUAU,2020-01-15
00Q4P00000wlQ3BUAU,2020-01-18
00Q4P00000wlTxMUAU,2020-01-25
00Q4P00000wldMXUAY,2020-01-20
00Q4P00000wliS0UAI,2020-01-23
00Q4P00000wlna6UAA,2020-01-25
00Q4P00000wltW1UAI,2020-01-29
00Q4P00000wlvFaUAI,2020-02-01
00Q4P000010MMyzUAG,2020-02-06
00Q4P000010MM1JUAW,2020-02-15
00Q4P000010MPOGUA4,2020-02-04
00Q4P000010MZSoUAO,2020-02-10
00Q4P000010MpeqUAC,2020-03-07
00Q4P000010MptWUAS,2020-02-12
00Q4P000010MuksUAC,2020-02-27
00Q4P000010MwP2UAK,2020-02-21
00Q4P000010NEhAUAW,2020-03-02
00Q4P000010NVspUAG,2020-03-12
00Q4P000010Nfy4UAC,2020-03-18
00Q4P000010Nh0DUAS,2020-03-17
00Q4P000010NlNKUA0,2020-03-18
00Q4P000010NrhIUAS,2020-03-21
10475,2019-10-01
11199,2019-10-08
1145,2019-01-16
14257,2019-11-05
15761,2019-11-30
16696,2019-11-23
19571,2019-12-12
20837,2019-12-15
220,2018-08-17
2870,2019-05-03
3785,2019-05-24
4272,2019-06-01
5002,2019-06-15
5031,2019-06-14
5548,2019-06-29
5638,2019-07-01
6080,2019-07-10
6520,2019-07-18
692,2018-12-08
7038,2019-07-27
7113,2019-07-31
7189,2019-08-03
7349,2019-08-07
7397,2019-08-09
7417,2019-08-10
8021,2019-08-23
00Q4P00000wksJnUAI,2019-12-20
00Q4P00000wl5dvUAA,2020-01-07
00Q4P00000wlPLxUAM,2020-01-14
00Q4P00000wlQMSUA2,2020-01-14
00Q4P00000wlPLJUA2,2020-01-25
00Q4P00000wlSLwUAM,2020-01-16
00Q4P00000wlTB3UAM,2020-01-16
00Q4P00000wlU69UAE,2020-01-17
00Q4P00000wlUrhUAE,2020-01-21
00Q4P00000wlVXPUA2,2020-01-21
00Q4P00000wlSKZUA2,2020-01-21
00Q4P000010MNM3UAO,2020-02-03
00Q4P000010MXmTUAW,2020-02-08
00Q4P000010MevVUAS,2020-02-13
00Q4P000010MfXAUA0,2020-02-17
00Q4P000010MfXAUA0,2020-02-17
00Q4P000010MoCMUA0,2020-02-18
00Q4P000010MgAiUAK,2020-02-18
00Q4P000010MohZUAS,2020-02-17
00Q4P000010MwBjUAK,2020-02-28
00Q4P000010N0lUUAS,2020-02-21
00Q4P000010NSEeUAO,2020-03-14
00Q4P000010NkPoUAK,2020-03-18
10628,2019-10-05
10977,2019-10-04
1114,2019-01-08
1150,2019-01-19
1228,2019-02-02
12387,2019-10-22
12570,2019-10-21
13836,2019-11-01
14073,2019-11-07
14297,2019-11-06
15364,2019-12-04
15566,2019-11-14
17932,2019-12-03
18227,2019-12-04
20086,2019-12-14
226,2018-08-20
